design,folder,part_a_source,part_b_source,printer,file_type,file_name,sku,theme,print_time_h,objects_pre_merge,color_changes,model_material_g,total_material_g,colors_used,per_color_g,time_add_per_wig_min,filament_per_unit_g,time_per_gram_min,waste_per_unit_g,throughput_wig_day,plate_utilization_pct,object_area_mm2,available_area_mm2,bed_area_mm2,exclusion_area_mm2,calibration_area_mm2,calibration_estimated,prime_tower_bbox,prime_tower_area_mm2,objects_on_plate,total_layers,print_height_mm,effective_layer_height_mm,variable_layer_height,layer_height_min_mm,layer_height_max_mm,layer_height_mean_mm,travel_distance_mm,travel_moves,travel_ratio_pct,retractions,z_hops,layers_gcode,total_extruded_filament_mm,feature_mix_pct,feature_filament_mm,prime_tower_filament_mm,support_filament_mm,outer_wall_loops,tool_changes_gcode,outer_loops_per_layer,layer_time_min_mean,layer_time_min_max,object_count_gcode,object_filament_mm_mean,object_filament_mm_min,object_filament_mm_max,color_changes_per_layer
X1C_FarmerBoy_RARE_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_FarmerBoy_RARE_Farm,X1C_FarmerBoy_RARE_Farm_Data.tsv,X1C_FarmerBoy_RARE_Farm_Full.gcode.3mf,X1C,Standard,FarmerBoy_RARE_Farm,,RARE Farm,43.3,96,171,351.56,421.68,4,"[{""grams"": 58.55, ""color"": ""Esun Cold White""}, {""grams"": 95.35, ""color"": ""Esun Brown""}, {""grams"": 99.36, ""color"": ""Esun Beige""}, {""grams"": 168.42, ""color"": ""Sunlu Silk (Blue)""}]",23.8,3.66,7.39,0.73,53.2,77.0,47226.0,61311.2,65536.0,504.0,3192.0,False,"[29.58, 15.0, 74.58, 26.75]",528.8,49,66,12.48,0.189,True,0.122,0.2,0.173,2572885.2,1250192,42.2,1010648,175337,66,258280.8,"{""outer_wall"": 37.3, ""infill"": 28.7, ""inner_wall"": 24.3, ""prime_tower"": 9.4, ""bridge"": 0.2, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 62800.5, ""outer_wall"": 96466.7, ""infill"": 74182.7, ""prime_tower"": 24198.6, ""bridge"": 486.6, ""overhang"": 4.0}",24198.6,0.0,75100,174,1137.9,39.82,67.0,49,4776.9,2440.6,4904.3,2.59
X1C_FarmerGirl_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_FarmerGirl_Farm,X1C_FarmerGirl_Farm_Data.tsv,X1C_FarmerGirl_Farm_Full.gcode.3mf,X1C,Standard,FarmerGirl_Farm,,Farm,30.73,88,182,323.57,407.88,4,"[{""grams"": 63.01, ""color"": ""Esun Cold White""}, {""grams"": 97.39, ""color"": ""Esun Orange""}, {""grams"": 105.86, ""color"": ""Esun Beige""}, {""grams"": 141.62, ""color"": ""Esun Dark Blue""}]",16.95,3.68,5.7,0.96,68.7,72.1,44069.8,61082.5,65536.0,504.0,3192.0,False,"[30.2, 15.0, 60.2, 40.25]",757.5,45,71,12.03,0.169,True,0.08,0.201,0.141,3029337.8,1549129,47.3,1214283,198011,71,276978.4,"{""outer_wall"": 39.6, ""infill"": 25.5, ""inner_wall"": 24.1, ""prime_tower"": 10.7, ""bridge"": 0.1, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 66654.4, ""outer_wall"": 109677.0, ""prime_tower"": 29573.9, ""infill"": 70647.3, ""overhang"": 9.0, ""bridge"": 275.2}",29573.9,0.0,90286,185,1271.6,26.23,78.0,45,5497.8,2763.1,5634.0,2.56
X1C_Fox_RARE_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Fox_RARE_Farm,X1C_Fox_RARE_Farm_Data.tsv,X1C_Fox_RARE_Farm_Full.gcode.3mf,X1C,Standard,Fox_RARE_Farm,,RARE Farm,35.77,66,128,281.14,345.72,3,"[{""grams"": 72.77, ""color"": ""Esun Cold White""}, {""grams"": 57.27, ""color"": ""Esun Black""}, {""grams"": 215.68, ""color"": ""Sunlu Silk (Orange)""}]",28.43,4.26,7.63,0.98,44.3,68.9,42429.2,61555.0,65536.0,504.0,3192.0,False,"[29.94, 15.0, 59.94, 24.5]",285.0,34,74,13.93,0.188,True,0.15,0.2,0.174,2066281.4,1020086,41.6,848599,133466,74,207044.6,"{""outer_wall"": 37.4, ""infill"": 29.1, ""inner_wall"": 21.6, ""prime_tower"": 10.9, ""bridge"": 0.9, ""overhang"": 0.1, ""other"": 0.1}","{""other"": 141.6, ""inner_wall"": 44690.3, ""outer_wall"": 77350.4, ""infill"": 60255.6, ""prime_tower"": 22613.5, ""overhang"": 176.9, ""bridge"": 1816.1}",22613.5,0.0,58086,131,784.9,29.26,59.0,34,5422.5,2764.8,5627.7,1.73
X1C_Frog_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Frog_Farm,X1C_Frog_Farm_Data.tsv,X1C_Frog_Farm_Full.gcode.3mf,X1C,Standard,Frog_Farm,,Farm,27.45,119,92,361.12,406.78,4,"[{""grams"": 25.99, ""color"": ""Esun Cold White""}, {""grams"": 10.2, ""color"": ""Esun Black""}, {""grams"": 348.58, ""color"": ""Esun Peak Green""}, {""grams"": 22.01, ""color"": ""Esun Yellow""}]",12.25,3.03,4.56,0.38,104.0,78.4,48096.5,61330.0,65536.0,504.0,3192.0,False,"[26.47, 15.0, 56.47, 32.0]",510.0,60,113,18.24,0.161,True,0.08,0.2,0.161,2392983.4,909299,37.8,718308,125921,113,206644.3,"{""outer_wall"": 36.3, ""infill"": 31.5, ""inner_wall"": 23.6, ""prime_tower"": 7.8, ""bridge"": 0.7, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 48733.6, ""outer_wall"": 75038.4, ""infill"": 65138.8, ""prime_tower"": 16028.9, ""overhang"": 20.1, ""bridge"": 1542.9}",16028.9,0.0,57265,95,506.8,14.62,67.0,60,3175.4,1600.1,3238.7,0.81
X1C_Goat_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Goat_Farm,X1C_Goat_Farm_Data.tsv,X1C_Goat_Farm_Full.gcode.3mf,X1C,Standard,Goat_Farm,,Farm,30.05,98,141,373.41,436.56,4,"[{""grams"": 24.9, ""color"": ""Esun Cold White""}, {""grams"": 48.2, ""color"": ""Esun Black""}, {""grams"": 346.2, ""color"": ""Esun Light Brown""}, {""grams"": 17.26, ""color"": ""Esun Bone White""}]",15.65,3.81,4.83,0.64,78.3,74.6,45863.2,61495.0,65536.0,504.0,3192.0,False,"[29.76, 15.0, 44.76, 38.0]",345.0,50,116,21.51,0.185,True,0.122,0.2,0.184,2365434.2,1162324,37.8,926243,163211,116,247995.3,"{""outer_wall"": 37.2, ""infill"": 28.0, ""inner_wall"": 24.4, ""prime_tower"": 9.0, ""bridge"": 1.3, ""overhang"": 0.1, ""other"": 0.1}","{""other"": 141.6, ""inner_wall"": 60547.0, ""outer_wall"": 92335.0, ""infill"": 69402.8, ""prime_tower"": 22217.3, ""bridge"": 3118.0, ""overhang"": 233.6}",22217.3,0.0,79754,144,687.5,15.6,58.0,50,4514.4,2291.2,4607.0,1.22
X1C_HighlandCow_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_HighlandCow_Farm,X1C_HighlandCow_Farm_Data.tsv,X1C_HighlandCow_Farm_Full.gcode.3mf,X1C,Standard,HighlandCow_Farm,,Farm,36.33,103,151,422.48,469.35,4,"[{""grams"": 24.57, ""color"": ""Esun Cold White""}, {""grams"": 26.72, ""color"": ""Esun Black""}, {""grams"": 393.09, ""color"": ""Esun Brown""}, {""grams"": 24.97, ""color"": ""Esun Pink""}]",18.62,4.1,5.16,0.46,68.0,77.4,47307.0,61082.5,65536.0,504.0,3192.0,False,"[29.18, 15.0, 59.18, 40.25]",757.5,52,125,22.28,0.178,True,0.08,0.2,0.151,3041924.9,1298113,40.3,1037337,177670,125,269660.3,"{""outer_wall"": 42.2, ""inner_wall"": 25.2, ""infill"": 24.9, ""prime_tower"": 6.2, ""bridge"": 1.2, ""overhang"": 0.2, ""other"": 0.1}","{""other"": 141.6, ""inner_wall"": 68037.4, ""outer_wall"": 113916.0, ""infill"": 67208.6, ""prime_tower"": 16728.5, ""overhang"": 474.9, ""bridge"": 3153.3}",16728.5,0.0,87389,154,699.1,17.52,55.0,52,4863.1,2451.8,4925.1,1.21
X1C_Horse_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Horse_Farm,X1C_Horse_Farm_Data.tsv,X1C_Horse_Farm_Full.gcode.3mf,X1C,Standard,Horse_Farm,,Farm,35.72,105,204,410.73,504.51,4,"[{""grams"": 8.79, ""color"": ""Esun Cold White""}, {""grams"": 121.58, ""color"": ""Esun Black""}, {""grams"": 345.8, ""color"": ""Esun Light Brown""}, {""grams"": 28.34, ""color"": ""Esun Bone White""}]",16.64,3.91,5.22,0.89,70.6,72.6,44579.8,61414.7,65536.0,504.0,3192.0,False,"[30.1, 15.0, 80.1, 23.51]",425.3,53,132,24.84,0.188,True,0.113,0.2,0.159,3192111.0,1312040,42.1,1060945,193417,132,299192.4,"{""outer_wall"": 39.2, ""infill"": 27.4, ""inner_wall"": 21.3, ""prime_tower"": 11.0, ""bridge"": 0.9, ""overhang"": 0.1, ""other"": 0.0}","{""other"": 141.6, ""inner_wall"": 63790.3, ""outer_wall"": 117423.0, ""infill"": 82103.7, ""prime_tower"": 32819.4, ""overhang"": 254.3, ""bridge"": 2660.1}",32819.4,0.0,87406,207,662.2,16.29,55.0,53,5025.3,2502.2,5089.9,1.55
X1C_Ladybug_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Ladybug_Farm,X1C_Ladybug_Farm_Data.tsv,X1C_Ladybug_Farm_Full.gcode.3mf,X1C,Standard,Ladybug_Farm,,Farm,36.22,98,101,427.38,477.94,3,"[{""grams"": 12.82, ""color"": ""Esun Cold White""}, {""grams"": 291.76, ""color"": ""Esun Black""}, {""grams"": 173.36, ""color"": ""Esun Red""}]",20.1,4.36,5.08,0.52,64.9,80.8,49744.2,61601.5,65536.0,504.0,3192.0,False,"[38.93, 15.0, 56.93, 28.25]",238.5,50,89,15.05,0.169,True,0.09,0.2,0.133,3321885.5,1666781,42.5,1362442,233292,89,327277.8,"{""outer_wall"": 40.1, ""inner_wall"": 26.9, ""infill"": 26.8, ""prime_tower"": 5.4, ""bridge"": 0.8, ""other"": 0.0, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 87962.6, ""outer_wall"": 131100.4, ""infill"": 87677.4, ""prime_tower"": 17675.7, ""overhang"": 40.3, ""bridge"": 2679.8}",17675.7,0.0,103421,104,1162.0,24.59,73.0,50,6190.2,3151.6,6352.4,1.13
X1C_Lamb_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Lamb_Farm,X1C_Lamb_Farm_Data.tsv,X1C_Lamb_Farm_Full.gcode.3mf,X1C,Standard,Lamb_Farm,,Farm,39.1,118,160,464.96,529.23,4,"[{""grams"": 401.77, ""color"": ""Esun Warm White""}, {""grams"": 37.07, ""color"": ""Esun Black""}, {""grams"": 78.94, ""color"": ""Esun Bone White""}, {""grams"": 11.45, ""color"": ""Esun Pink""}]",17.36,3.94,5.05,0.54,72.4,80.3,49394.8,61487.5,65536.0,504.0,3192.0,False,"[29.31, 15.0, 59.31, 26.75]",352.5,60,138,23.03,0.167,True,0.09,0.2,0.148,3582843.4,1456275,41.0,1157870,203102,138,312772.7,"{""outer_wall"": 42.6, ""infill"": 26.1, ""inner_wall"": 23.0, ""prime_tower"": 7.3, ""bridge"": 0.8, ""overhang"": 0.1, ""other"": 0.0}","{""other"": 141.6, ""inner_wall"": 71952.0, ""outer_wall"": 133323.4, ""infill"": 81783.0, ""prime_tower"": 22709.9, ""overhang"": 298.0, ""bridge"": 2564.8}",22709.9,0.0,98029,163,710.4,17.06,68.0,60,4833.6,2438.9,4917.8,1.16
X1C_Llama_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_Llama_Farm,X1C_Llama_Farm_Data.tsv,X1C_Llama_Farm_Full.gcode.3mf,X1C,Standard,Llama_Farm,,Farm,28.82,96,117,330.14,376.47,3,"[{""grams"": 299.18, ""color"": ""Esun Cold White""}, {""grams"": 13.93, ""color"": ""Esun Black""}, {""grams"": 63.36, ""color"": ""Esun Bone White""}]",15.73,3.44,5.24,0.48,80.0,71.9,44205.2,61510.0,65536.0,504.0,3192.0,False,"[32.7, 15.0, 62.7, 26.0]",330.0,49,139,25.82,0.186,True,0.113,0.2,0.165,2699095.5,1135731,44.2,930142,154598,139,225974.3,"{""outer_wall"": 41.3, ""infill"": 25.2, ""inner_wall"": 24.3, ""prime_tower"": 7.3, ""bridge"": 1.6, ""overhang"": 0.2, ""other"": 0.1}","{""other"": 141.6, ""inner_wall"": 54860.5, ""outer_wall"": 93422.7, ""infill"": 56925.1, ""prime_tower"": 16386.9, ""overhang"": 543.0, ""bridge"": 3694.5}",16386.9,0.0,73465,120,528.5,12.46,67.0,49,4275.6,2177.6,4377.6,0.84
X1C_MallardDuck_RARE_Farm,C:\ZB_Designs\Farm\X1C_Farm\X1C_Standard_Farm\X1C_MallardDuck_RARE_Farm,X1C_MallardDuck_RARE_Farm_Data.tsv,X1C_MallardDuck_RARE_Farm_Full.gcode.3mf,X1C,Standard,MallardDuck_RARE_Farm,,RARE Farm,35.67,138,111,443.73,495.8,4,"[{""grams"": 27.93, ""color"": ""Esun Cold White""}, {""grams"": 318.35, ""color"": ""Esun Brown""}, {""grams"": 112.49, ""color"": ""Sunlu Silk (Bronze)""}, {""grams"": 37.03, ""color"": ""Esun Yellow""}]",13.85,3.22,4.82,0.38,92.9,83.7,51128.5,61080.0,65536.0,504.0,3192.0,False,"[29.61, 15.0, 109.61, 24.5]",760.0,64,132,23.87,0.181,True,0.084,0.205,0.158,2984472.7,1275671,41.0,1059372,171971,132,265179.9,"{""outer_wall"": 40.8, ""infill"": 30.1, ""inner_wall"": 21.4, ""prime_tower"": 6.8, ""bridge"": 0.8, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 56815.1, ""outer_wall"": 108280.1, ""infill"": 79797.4, ""prime_tower"": 18033.8, ""overhang"": 95.4, ""bridge"": 2016.4}",18033.8,0.0,84341,114,638.9,16.27,63.0,64,3860.3,1760.8,5391.5,0.84
